nom_produit,prix,categorie,note
"NIVEA Crème visage, corps & mains (2 x 200 ml), crème hydratante à la texture onctueuse enrichie en Eucerit, soin hydratant multiusage pour toute la famille","5,81€",Cosmétique et Beauté,"4,5"
"NIVEA MEN - Crème Hydratante Visage Quotidienne - Hydratation Immédiate & 48H - Hydrocare - Format XXL - Aloe Vera & Pro-Vitamin B5-3 Effets Hydratants - Non Grasse, Non Collante - 100 ml","9,00€",Cosmétique et Beauté,"4,4"
NIVEA SUN Spray Solaire Protect & Hydrate Kids Coloré SPF 50+ 200 ml — Crème Solaire résistante à l'eau — Haute Protection Visage et Corps pour la peau délicate des Enfants,"10,00€",Cosmétique et Beauté,"4,8"
NIVEA Lot de 6 flacons de lait corporel pour peaux sèches 400 ml,"51,64€",Cosmétique et Beauté,"4,6"
"NIVEA CELLULAR Epigenetics Sérum rajeunissant avec EPICELLINE, réinitialise l'âge de la peau en 2 semaines, soin du visage révolutionnaire avec 3 types d'acide hyaluronique (30 ml)","24,88€",Cosmétique et Beauté,"4,4"
"NIVEA Creme Care Sensitive Soin du visage et du corps pour une hydratation intense pendant 48 heures, crème hydratante non grasse pour peaux sensibles et sèches (200 ml)","7,58€",Cosmétique et Beauté,"3,6"
"NIVEA Crème de douche Soin (1 x 250 ml), enrichie à la Vitamine C & E et Huile d'Amande douce, Soin corps hydratant qui nettoie respecte et renforce le microbiome pour peaux sèches","1,95€",Cosmétique et Beauté,"4,5"
"NIVEA MEN Déodorant Spray Dry Impact (1 x 200 ml), déodorant homme protection efficace 72 h, anti-transpirant aisselles testé et approuvé dans les situations du quotidien","2,82€",Cosmétique et Beauté,"4,5"
"NIVEA - Coffret Soin Visage Anti-Âge Q10 Anti-Rides - Sérum Double Action Anti-Rides (30 ml) + Soin de Jour Anti-Rides & Fermeté (50 ml) - Q10 Pur, Créatine & Glycostop - Tous Types de Peaux","26,10€",Cosmétique et Beauté,"4,4"
NIVEA Crème universelle 400 ml,"7,38€",Cosmétique et Beauté,"4,8"
"NIVEA Q10 60+ Lotion corporelle pour peaux matures (400 ml), crème raffermissante nourrissante avec Q10 et huile d'argan, crème hydratante NIVEA 72H pour peaux vieillissantes et matures","18,29€",Cosmétique et Beauté,"4,6"
"NIVEA - Eau Micellaire Visage Waterproof Skin Radiance - Nettoie En Douceur, Démaquille & Illumine - 5% Sérum Vitamines C & E - Sans Parfum - Peaux Ternes & Sensibles - 400 ml","5,57€",Cosmétique et Beauté,"4,5"
"NIVEA MEN - Crème Hydratante Visage Quotidienne - Boost D'Hydratation Immédiat - Peau Sensible - Format XXL - Sans Parfum - Complexe VitaminPRO - 5 Protections - Non Grasse, Non Collante - 100 ml","9,50€",Cosmétique et Beauté,"4,4"
"NIVEA Lait corporel riche, crème pour le corps intensément nourrissante avec acide hyaluronique pur, huile d'amande et sérum, lotion pour peaux sèches (625 ml)","11,55€",Cosmétique et Beauté,"4,7"
"NIVEA MEN Crème hydratation intense Peau Sensible (1 x 50 ml), crème hydratante pour les hommes à la peau sensible et irritée, soin visage homme 0% alcool","6,91€",Cosmétique et Beauté,"4,6"
