nom_produit,prix,categorie,note
"NZ Rayyan Linen Parure de lit pour lit king size avec taies d'oreiller, motif fleur blanc et lilas","23,08€",Cosmétique de Luxe et Soins,N/A
Uno Skin Care Tank (Mild) Men's Face Care 160ml (Quasi Drug),"26,88€",Cosmétique de Luxe et Soins,"4,2"
Senka Perfect Whip Collagen in Facial Wash -120g 2pcs Blotting Paper Set,"33,88€",Cosmétique de Luxe et Soins,"5,0"
[rom&nd] Glasting Melting Balm (Baume Fondant Éclat) 3.5g (02 Lovey Pink),"13,19€",Cosmétique de Luxe et Soins,"4,4"
Senka Speedy Perfect Whip Moist Touch 130ml - Refill Blotting Paper Set,"21,88€",Cosmétique de Luxe et Soins,N/A
"Clean Skin Club Clean Towels XL®, lingettes visage 100% biosourcées USDA, jetables, ultra-douces, approuvées eczéma, démaquillantes à sec, 1 paquet de 50 lingettes.","17,95€",Cosmétique de Luxe et Soins,"4,6"
"Les Secrets de Loly – Repair Time – Masque hydratant Fortifiant & démêlage facile – Cheveux ondulés, bouclés, frisés et crépus – +96% d'origine naturelle – 230 ml","21,50€",Cosmétique de Luxe et Soins,"4,4"
"CATKIN Fond De Teint Cushion, Formule Légère Et Longue Tenue, Anti-Âge, Effet Naturel, Extraits De Plantes 7 En 1, Finition Satinée Transparente, Recharges Incluses, 13g*2","28,99€",Cosmétique de Luxe et Soins,"4,0"
Priaulx Beauty Lift Rouge Red 2 4g,"85,00€",Cosmétique de Luxe et Soins,"3,3"
Senka All Clear Double Facial Wash W - 120g Blotting Paper Set,"25,88€",Cosmétique de Luxe et Soins,N/A
"Premium Moist Repair Conditioner for Tsubaki, Refill Pack 300 ml Set of 2","27,99€",Cosmétique de Luxe et Soins,"3,0"
Senka Perfect Whip u Facial Wash -120g Blotting Paper Set,"20,77€",Cosmétique de Luxe et Soins,"3,7"
Pauly D Tempted 24 Hour Hydration Moisturising formula Tattoo and Color Fade Protection 550ml,"94,91€",Cosmétique de Luxe et Soins,"4,5"
Senka Perfect Whip Acne Care Facial Ｗash - 120g 2pcs Blotting Paper Set,"38,88€",Cosmétique de Luxe et Soins,N/A
Senka Perfect Clear Cleanse Facial Cleansing - 170ml Blotting Paper Set,"40,88€",Cosmétique de Luxe et Soins,N/A
"VICHY LIFTACTIV Collagen Specialist 16 Crème de Jour Anti-Âge, Technologie Co-Bonding, Corrige 16 Signes de l'Âge, Rides, Fermeté, Éclat, Tous Types de Peau, 50 ml","25,93€",Cosmétique de Luxe et Soins,"4,4"
Senka Perfect Whip White Clay n Facial Ｗash - 120g 2pcs Blotting Paper Set,"35,88€",Cosmétique de Luxe et Soins,N/A
Senka Perfect Melting Balm - 90ｇBlotting Paper Set,"34,77€",Cosmétique de Luxe et Soins,N/A
"Bio-Collagen Masque Profond Réel, Masque Collagene Visage, Hydratant, Minimisation des Pores, Amélioration de l'Élasticité | 34 g (1,19 oz) x 5 pièces","16,99€",Cosmétique de Luxe et Soins,"4,2"
Bare Minerals Blooming Blush Pinceau,"25,74€",Cosmétique de Luxe et Soins,"4,6"
"Yepoda The Night Light, Crème Hydratante Apaisante et Purifiante de Nuit Sans Huile avec Aloe Vera, Armoise et Niacinamide, Crème Visage Végane Coréenne Hydratante pour Tous Types de Peau, 50 ml","26,00€",Cosmétique de Luxe et Soins,"4,6"
"Kleem Organics Gel Bio Contour des Yeux Anti-Âge – Réduit Rides, Cernes, Poches et Pattes d'Oie – Enrichie en Peptides, Niacinamide et Acide Hyaluronique – Hydratant Naturel 15 ml","18,97€",Cosmétique de Luxe et Soins,"4,0"
"Theramid Derma-Peptides 35% 30 ml – 9 peptides biomimétiques, anti-âge, raffermissant, réduit les rides et stimule la production de collagène et d'élastine pour une peau d'apparence plus jeune","32,95€",Cosmétique de Luxe et Soins,"4,5"
